'icao24','timestamp','acars','adsb','built','categoryDescription','country','engines','firstFlightDate','firstSeen','icaoAircraftClass','lineNumber','manufacturerIcao','manufacturerName','model','modes','nextReg','notes','operator','operatorCallsign','operatorIata','operatorIcao','owner','prevReg','regUntil','registered','registration','selCal','serialNumber','status','typecode','vdl'
'008058','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Owenair P/l,'',,,ZS-ACT,'','20034','',CL30,0
'00865d','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 350,0,'','','','','','',Fireblade Investments Ltd,'',,,ZS-CKA,'','20626','',CL35,0
'00982e','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,Bombardier Challenger 350,0,'','','','','','',J-air P/l,'',,,ZS-JDL,'','20556','',CL35,0
'009969','2013-03-04 00:00:00',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,BD-100-1A10 Challenger 300,0,'','',Walstrand Aviation Pty Ltd,'','','','','',,'2013-03-04',ZS-JPO,'','20383','',CL30,0
'009ad8','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',RAYTHEON,Bombardier,Global Express,0,'','',Fortune Air Pty Ltd,'','','',Fortune Air P/l,'',,'2015-07-01',ZS-KDR,DRHK,'9023','',GLEX,0
'00a513','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,'','','',Bombardier,Global 6000,0,'','','','','','',Execujet Aviation P/l,'',,,ZS-OAK,'','9631','',GL6T,0
'00b290','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,'','','',Bombardier,Global 6000,0,'','','','','','',Fireblade Investments Ltd,'',,,ZS-TDF,'','9603','',GL6T,0
'00b2f4','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,'','','',Bombardier,Challenger 604,0,'','','','','','',Rey Airlines Sa,'',,,ZS-THB,'','5528','',CL64,0
'015a4e','1970-01-01 01:00:00',0,0,,'',Egypt,'',,,L2J,'',RAYTHEON,Bombardier,BD-700-1A10 Global Express,0,'','','','','','','','',,,EC-LNM,'','9403','',GLEX,0
'01803c','2017-09-15 00:10:07',0,0,,'',Libyan Arab Jamahiriya,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','',United Aviation,UNITED AVIATION,'',UVN,United Aviation,'',,,'5A-UAB','','9285','',GL5T,0
